CODICE PRODOTTO,CODICE OE,CODICI CROSS,BRAND,DESCRIZIONE,LINK IMMAGINE,CATEGORIA,GIACENZA,PREZZO,SCHEDA TECNICA,SCHEDA DI SICUREZZA,CONFEZIONE,QUANTITÀ MINIMA,META.LUNGHEZZA,META.LARGHEZZA,META.PROFONDITA',META. ...
0250202129,,,BOSCH,CANDELETTA RENAULT 1.9 D,,Ricambio,8.0,15.9,,,1 pz,1,,,,
0250202130,,,BOSCH,CANDELETTA CITROEN/FORD,,Ricambio,8.0,14.9,,,1 pz,1,,,,
0250202131,,,BOSCH,CANDELETTA FORD FOCUS,,Ricambio,8.0,13.9,,,1 pz,1,,,,
0250202137,,,BOSCH,CANDELETTA OPEL,,Ricambio,4.0,15.9,,,1 pz,1,,,,
0250202141,,,BOSCH,CANDELETTA MERCEDES C220,,Ricambio,6.0,14.9,,,1 pz,1,,,,
0250202149,,,BOSCH,Candeletta incand,,Ricambio,4.0,18.9,,,1 pz,1,,,,
0250203001,,,BOSCH,CANDELETTA FIAT/ALFA 1.9 MJTD,,Ricambio,7.0,14.9,,,1 pz,1,,,,
0250203002,,,BOSCH,CANDELETTA PUNTO 1.3 JTD 75CV,,Ricambio,14.0,13.9,,,1 pz,1,,,,
0250204002,,,BOSCH,CANDELETTA PSA 1.6 HDI,,Ricambio,12.0,15.9,,,1 pz,1,,,,
0250212009,,,BOSCH,CANDELETTA,,Ricambio,10.0,12.9,,,1 pz,1,,,,
0250212011,,,BOSCH,CANDELETTA HYUNDAI IX20,,Ricambio,8.0,12.9,,,1 pz,1,,,,
0250212013,,,BOSCH,CANDELETTA BMW 318/330/525,,Ricambio,4.0,12.9,,,1 pz,1,,,,
0250213013,,,BOSCH,CANDELETTA,,Ricambio,13.0,23.9,,,1 pz,1,,,,
0250402002,,,BOSCH,CANDELETTA BMW,,Ricambio,13.0,15.9,,,1 pz,1,,,,
0250403002,,,BOSCH,CANDELETTA AUDI/VW,,Ricambio,8.0,14.9,,,1 pz,1,,,,
0250403008,,,BOSCH,CANDELETTA MERCED E 320 (211),,Ricambio,7.0,14.9,,,1 pz,1,,,,
0250403009,,,BOSCH,CANDELETTA AUDI/VW 2.0 TDI,,Ricambio,8.0,15.9,,,1 pz,1,,,,
0250403011,,,BOSCH,CANDELETTA FIAT OPEL,,Ricambio,8.0,15.9,,,1 pz,1,,,,
0250403012,,,BOSCH,CANDELETTA,,Ricambio,18.0,18.9,,,1 pz,1,,,,
0250403014,,,BOSCH,CANDELETTA PUNTO 1.3 JTD 90 CV,,Ricambio,15.0,14.9,,,1 pz,1,,,,
0250403020,,,BOSCH,CANDELETTA,,Ricambio,4.0,17.9,,,1 pz,1,,,,
0250403021,,,BOSCH,CANDELETTA,,Ricambio,7.0,17.9,,,1 pz,1,,,,
0250403023,,,BOSCH,CANDELETTA,,Ricambio,4.0,17.9,,,1 pz,1,,,,
0250403052,,,BOSCH,CANDELETTA MITSUBISHI PAJERO,,Ricambio,8.0,14.9,,,1 pz,1,,,,
0250403055,,,BOSCH,CANDELETTA M/PAJER 28TD '94-00,,Ricambio,4.0,16.9,,,1 pz,1,,,,
0250404004,,,BOSCH,CANDELETTA FIAT 1.3 MULTIJ U.T,,Ricambio,8.0,19.9,,,1 pz,1,,,,
0250603001,,,BOSCH,CANDELETTA,,Ricambio,4.0,24.9,,,1 pz,1,,,,
0250603006,,,BOSCH,CANDELETTA BMW   177 CV,,Ricambio,4.0,22.9,,,1 pz,1,,,,
0250603024,,,BOSCH,CANDELETTA,,Ricambio,14.0,23.9,,,1 pz,1,,,,
