TecDoc-ID,TecDoc Brand,TecDoc Brand ID,Description,Quantity,Price_Italia,Price_Germany,Brand Type
0250202130,BOSCH,30,CANDELETTA CITROEN/FORD,8.0,14.9,17.9,AFTERMARKET
0250202131,BOSCH,30,CANDELETTA FORD FOCUS,8.0,13.9,16.9,AFTERMARKET
0250202137,BOSCH,30,CANDELETTA OPEL,4.0,15.9,18.9,AFTERMARKET
0250202141,BOSCH,30,CANDELETTA MERCEDES C220,6.0,14.9,17.9,AFTERMARKET
0250202149,BOSCH,30,Candeletta incand,4.0,18.9,21.9,AFTERMARKET
0250203001,BOSCH,30,CANDELETTA FIAT/ALFA 1.9 MJTD,7.0,14.9,17.9,AFTERMARKET
0250203002,BOSCH,30,CANDELETTA PUNTO 1.3 JTD 75CV,14.0,13.9,16.9,AFTERMARKET
0250204002,BOSCH,30,CANDELETTA PSA 1.6 HDI,12.0,15.9,18.9,AFTERMARKET
0250212009,BOSCH,30,CANDELETTA,10.0,12.9,15.9,AFTERMARKET
0250212011,BOSCH,30,CANDELETTA HYUNDAI IX20,8.0,12.9,15.9,AFTERMARKET
0250212013,BOSCH,30,CANDELETTA BMW 318/330/525,4.0,12.9,15.9,AFTERMARKET
0250213013,BOSCH,30,CANDELETTA,13.0,23.9,26.9,AFTERMARKET
0250402002,BOSCH,30,CANDELETTA BMW,13.0,15.9,18.9,AFTERMARKET
0250403002,BOSCH,30,CANDELETTA AUDI/VW,8.0,14.9,17.9,AFTERMARKET
0250403008,BOSCH,30,CANDELETTA MERCED E 320 (211),7.0,14.9,17.9,AFTERMARKET
0250403009,BOSCH,30,CANDELETTA AUDI/VW 2.0 TDI,8.0,15.9,18.9,AFTERMARKET
0250403011,BOSCH,30,CANDELETTA FIAT OPEL,8.0,15.9,18.9,AFTERMARKET
0250403012,BOSCH,30,CANDELETTA,18.0,18.9,21.9,AFTERMARKET
0250403014,BOSCH,30,CANDELETTA PUNTO 1.3 JTD 90 CV,15.0,14.9,17.9,AFTERMARKET
0250403020,BOSCH,30,CANDELETTA,4.0,17.9,20.9,AFTERMARKET
0250403021,BOSCH,30,CANDELETTA,7.0,17.9,20.9,AFTERMARKET
0250403023,BOSCH,30,CANDELETTA,4.0,17.9,20.9,AFTERMARKET
0250403052,BOSCH,30,CANDELETTA MITSUBISHI PAJERO,8.0,14.9,17.9,AFTERMARKET
0250403055,BOSCH,30,CANDELETTA M/PAJER 28TD '94-00,4.0,16.9,19.9,AFTERMARKET
0250404004,BOSCH,30,CANDELETTA FIAT 1.3 MULTIJ U.T,8.0,19.9,22.9,AFTERMARKET
0250603001,BOSCH,30,CANDELETTA,4.0,24.9,27.9,AFTERMARKET
0250603006,BOSCH,30,CANDELETTA BMW   177 CV,4.0,22.9,25.9,AFTERMARKET
0250603024,BOSCH,30,CANDELETTA,14.0,23.9,26.9,AFTERMARKET
0258007038,BOSCH,30,SONDA LAMBDA,1.0,97.9,100.9,AFTERMARKET
0258017016,BOSCH,30,SONDA LAMBDA MERCEDES,2.0,79.9,82.9,AFTERMARKET
025803007N,BOSCH,30,Sonda lambda,1.0,47.9,50.9,AFTERMARKET
0260120025,BOSCH,30,VALVOLA ELETTROMAGNETICA,2.0,37.9,40.9,AFTERMARKET
0261210113,BOSCH,30,TRASDUTTORE NUMERO DI GIRI,1.0,25.9,28.9,AFTERMARKET
0261210126,BOSCH,30,TRASDUTTORE NR GIRI ALB.MOTORE,2.0,27.9,30.9,AFTERMARKET
0261210141,BOSCH,30,TRASDUTTORE NUMERO GIRI,2.0,31.9,34.9,AFTERMARKET
